ip,backend,status
10.65.44.144,192.168.56.20:80,200
10.215.159.134,192.168.56.30:80,200
10.241.42.219,192.168.56.40:80,200
10.36.70.82,192.168.56.30:80,200
10.67.138.234,192.168.56.30:80,200
10.30.31.222,192.168.56.30:80,200
10.148.111.68,192.168.56.40:80,200
10.138.124.11,192.168.56.30:80,200
10.201.237.54,192.168.56.30:80,200
10.214.175.109,192.168.56.30:80,200
10.224.173.122,192.168.56.30:80,200
10.182.54.128,192.168.56.40:80,200
10.142.17.238,192.168.56.30:80,200
10.94.212.168,192.168.56.30:80,200
10.180.244.158,192.168.56.40:80,200
10.84.55.247,192.168.56.30:80,200
10.190.119.251,192.168.56.40:80,200
10.65.208.42,192.168.56.30:80,200
10.64.145.6,192.168.56.20:80,200
10.236.234.19,192.168.56.30:80,200
10.205.150.217,192.168.56.30:80,200
10.173.83.101,192.168.56.30:80,200
10.205.183.180,192.168.56.30:80,200
10.189.219.117,192.168.56.40:80,200
10.143.94.192,192.168.56.40:80,200
10.66.219.194,192.168.56.30:80,200
10.55.169.202,192.168.56.30:80,200
10.97.77.122,192.168.56.30:80,200
10.225.81.135,192.168.56.40:80,200
10.93.120.240,192.168.56.40:80,200
10.106.4.113,192.168.56.20:80,200
10.183.112.141,192.168.56.30:80,200
10.46.133.163,192.168.56.30:80,200
10.1.243.177,192.168.56.30:80,200
10.202.16.37,192.168.56.40:80,200
10.207.0.215,192.168.56.30:80,200
10.154.186.228,192.168.56.40:80,200
10.231.110.133,192.168.56.30:80,200
10.119.211.156,192.168.56.20:80,200
10.98.243.19,192.168.56.30:80,200
10.249.218.39,192.168.56.20:80,200
10.224.93.82,192.168.56.20:80,200
10.246.153.82,192.168.56.20:80,200
10.126.251.250,192.168.56.40:80,200
10.219.95.208,192.168.56.20:80,200
10.27.38.88,192.168.56.40:80,200
10.86.142.28,192.168.56.40:80,200
10.121.205.201,192.168.56.30:80,200
10.252.70.208,192.168.56.20:80,200
10.156.240.82,192.168.56.30:80,200
10.26.176.165,192.168.56.30:80,200
10.219.227.10,192.168.56.20:80,200
10.45.197.163,192.168.56.30:80,200
10.187.247.201,192.168.56.20:80,200
10.120.241.24,192.168.56.30:80,200
10.61.213.149,192.168.56.40:80,200
10.73.190.195,192.168.56.40:80,200
10.37.120.127,192.168.56.30:80,200
10.164.74.108,192.168.56.20:80,200
10.24.153.215,192.168.56.30:80,200
10.23.234.172,192.168.56.20:80,200
10.161.102.34,192.168.56.20:80,200
10.236.253.243,192.168.56.30:80,200
10.63.130.236,192.168.56.30:80,200
10.130.225.105,192.168.56.40:80,200
10.8.126.181,192.168.56.40:80,200
10.35.188.247,192.168.56.20:80,200
10.233.189.48,192.168.56.30:80,200
10.236.78.0,192.168.56.30:80,200
10.235.71.122,192.168.56.40:80,200
10.123.32.201,192.168.56.30:80,200
10.17.115.203,192.168.56.30:80,200
10.33.204.48,192.168.56.40:80,200
10.93.115.22,192.168.56.20:80,200
10.96.119.205,192.168.56.40:80,200
10.192.102.170,192.168.56.40:80,200
10.217.234.36,192.168.56.40:80,200
10.137.98.90,192.168.56.20:80,200
10.119.58.50,192.168.56.20:80,200
10.226.102.105,192.168.56.40:80,200
10.210.63.44,192.168.56.30:80,200
10.159.103.237,192.168.56.30:80,200
10.8.152.43,192.168.56.30:80,200
10.138.183.244,192.168.56.40:80,200
10.207.134.65,192.168.56.30:80,200
10.8.132.101,192.168.56.40:80,200
10.56.64.184,192.168.56.40:80,200
10.189.87.183,192.168.56.40:80,200
10.239.146.3,192.168.56.30:80,200
10.107.204.12,192.168.56.20:80,200
10.138.35.225,192.168.56.40:80,200
10.188.196.190,192.168.56.30:80,200
10.172.137.169,192.168.56.20:80,200
10.174.163.114,192.168.56.30:80,200
10.112.64.224,192.168.56.30:80,200
10.216.228.39,192.168.56.40:80,200
10.92.183.220,192.168.56.40:80,200
10.1.125.32,192.168.56.40:80,200
10.140.158.189,192.168.56.30:80,200
10.149.200.91,192.168.56.30:80,200
10.74.10.230,192.168.56.30:80,200
10.122.136.215,192.168.56.20:80,200
10.78.143.229,192.168.56.20:80,200
10.177.60.175,192.168.56.20:80,200
10.249.247.54,192.168.56.20:80,200
10.119.25.99,192.168.56.30:80,200
10.97.229.185,192.168.56.20:80,200
10.28.69.250,192.168.56.20:80,200
10.17.62.99,192.168.56.30:80,200
10.108.5.144,192.168.56.40:80,200
10.185.167.237,192.168.56.30:80,200
10.108.184.244,192.168.56.20:80,200
10.67.105.194,192.168.56.40:80,200
10.212.114.103,192.168.56.20:80,200
10.183.239.128,192.168.56.40:80,200
10.199.235.119,192.168.56.20:80,200
10.92.191.23,192.168.56.30:80,200
10.165.116.129,192.168.56.40:80,200
10.31.223.118,192.168.56.20:80,200
10.57.112.36,192.168.56.30:80,200
10.225.224.84,192.168.56.40:80,200
10.242.46.133,192.168.56.30:80,200
10.92.245.5,192.168.56.20:80,200
10.165.180.175,192.168.56.30:80,200
10.11.87.55,192.168.56.20:80,200
10.160.20.25,192.168.56.30:80,200
10.118.23.194,192.168.56.20:80,200
10.47.245.43,192.168.56.40:80,200
10.4.223.135,192.168.56.20:80,200
10.155.117.88,192.168.56.20:80,200
10.129.91.42,192.168.56.40:80,200
10.9.213.162,192.168.56.20:80,200
10.53.31.26,192.168.56.40:80,200
10.88.228.152,192.168.56.40:80,200
10.175.195.187,192.168.56.30:80,200
10.92.156.192,192.168.56.30:80,200
10.47.255.52,192.168.56.20:80,200
10.176.249.99,192.168.56.30:80,200
10.134.95.19,192.168.56.30:80,200
10.219.219.117,192.168.56.30:80,200
10.253.165.125,192.168.56.20:80,200
10.67.88.88,192.168.56.40:80,200
10.41.209.249,192.168.56.30:80,200
10.65.141.14,192.168.56.30:80,200
10.233.10.203,192.168.56.30:80,200
10.68.25.93,192.168.56.40:80,200
10.239.161.118,192.168.56.40:80,200
10.174.163.250,192.168.56.40:80,200
10.121.61.28,192.168.56.20:80,200
10.199.56.13,192.168.56.30:80,200
10.102.99.120,192.168.56.40:80,200
10.6.26.232,192.168.56.30:80,200
10.151.220.199,192.168.56.30:80,200
10.6.202.99,192.168.56.30:80,200
10.204.171.119,192.168.56.40:80,200
10.18.169.23,192.168.56.30:80,200
10.227.42.164,192.168.56.40:80,200
10.171.68.159,192.168.56.30:80,200
10.219.88.20,192.168.56.20:80,200
10.212.207.176,192.168.56.20:80,200
10.52.21.118,192.168.56.30:80,200
10.128.182.152,192.168.56.30:80,200
10.208.109.6,192.168.56.40:80,200
10.102.144.135,192.168.56.20:80,200
10.84.14.44,192.168.56.30:80,200
10.254.104.137,192.168.56.30:80,200
10.12.248.0,192.168.56.40:80,200
10.36.166.121,192.168.56.20:80,200
10.179.11.155,192.168.56.20:80,200
10.74.194.232,192.168.56.30:80,200
10.227.237.77,192.168.56.20:80,200
10.154.234.153,192.168.56.40:80,200
10.215.90.155,192.168.56.40:80,200
10.97.138.79,192.168.56.20:80,200
10.89.23.216,192.168.56.30:80,200
10.181.72.157,192.168.56.30:80,200
10.64.47.83,192.168.56.30:80,200
10.103.79.236,192.168.56.40:80,200
10.217.247.152,192.168.56.30:80,200
10.144.17.123,192.168.56.30:80,200
10.246.13.92,192.168.56.30:80,200
10.191.75.70,192.168.56.30:80,200
10.188.121.176,192.168.56.30:80,200
10.27.211.88,192.168.56.30:80,200
10.17.239.252,192.168.56.40:80,200
10.26.127.147,192.168.56.30:80,200
10.180.87.96,192.168.56.20:80,200
10.175.89.18,192.168.56.30:80,200
10.221.255.234,192.168.56.20:80,200
10.243.250.178,192.168.56.40:80,200
10.212.206.95,192.168.56.30:80,200
10.1.129.148,192.168.56.20:80,200
10.21.116.156,192.168.56.30:80,200
10.247.77.64,192.168.56.30:80,200
10.15.193.146,192.168.56.40:80,200
10.197.203.131,192.168.56.20:80,200
10.1.191.213,192.168.56.30:80,200
10.234.155.213,192.168.56.20:80,200
10.129.48.204,192.168.56.40:80,200
10.110.156.64,192.168.56.40:80,200
10.136.83.110,192.168.56.20:80,200
10.232.164.67,192.168.56.30:80,200
10.36.26.116,192.168.56.30:80,200
10.162.71.214,192.168.56.40:80,200
10.137.12.225,192.168.56.30:80,200
10.147.171.12,192.168.56.40:80,200
10.66.164.118,192.168.56.40:80,200
10.164.240.9,192.168.56.30:80,200
10.111.125.224,192.168.56.40:80,200
10.142.102.200,192.168.56.30:80,200
10.190.82.38,192.168.56.30:80,200
10.57.155.128,192.168.56.30:80,200
10.51.78.11,192.168.56.30:80,200
10.185.136.198,192.168.56.40:80,200
10.42.252.217,192.168.56.30:80,200
10.225.222.171,192.168.56.20:80,200
10.230.213.250,192.168.56.30:80,200
10.222.180.157,192.168.56.30:80,200
10.204.145.71,192.168.56.40:80,200
10.191.43.73,192.168.56.30:80,200
10.217.243.232,192.168.56.30:80,200
10.7.151.14,192.168.56.30:80,200
10.164.209.238,192.168.56.20:80,200
10.139.122.83,192.168.56.20:80,200
10.251.8.34,192.168.56.20:80,200
10.173.15.132,192.168.56.30:80,200
10.63.135.1,192.168.56.30:80,200
10.5.194.216,192.168.56.30:80,200
10.156.138.245,192.168.56.40:80,200
10.13.74.251,192.168.56.40:80,200
10.240.5.167,192.168.56.30:80,200
10.71.124.154,192.168.56.40:80,200
10.208.107.228,192.168.56.20:80,200
10.48.139.181,192.168.56.40:80,200
10.215.222.237,192.168.56.20:80,200
10.136.207.156,192.168.56.40:80,200
10.15.137.85,192.168.56.20:80,200
10.117.237.130,192.168.56.40:80,200
10.232.159.164,192.168.56.30:80,200
10.160.127.213,192.168.56.40:80,200
10.81.164.38,192.168.56.30:80,200
10.129.58.245,192.168.56.40:80,200
10.20.65.103,192.168.56.30:80,200
10.134.241.168,192.168.56.40:80,200
10.173.223.33,192.168.56.20:80,200
10.86.126.212,192.168.56.30:80,200
10.209.119.121,192.168.56.20:80,200
10.84.214.114,192.168.56.20:80,200
10.148.222.155,192.168.56.30:80,200
10.187.158.44,192.168.56.30:80,200
10.53.156.103,192.168.56.30:80,200
10.204.93.18,192.168.56.30:80,200
10.144.242.180,192.168.56.30:80,200
10.65.65.239,192.168.56.30:80,200
10.88.156.1,192.168.56.30:80,200
10.239.50.76,192.168.56.40:80,200
10.6.128.16,192.168.56.40:80,200
10.152.158.128,192.168.56.30:80,200
10.69.58.6,192.168.56.40:80,200
10.178.110.235,192.168.56.30:80,200
10.140.223.242,192.168.56.30:80,200
10.192.190.144,192.168.56.40:80,200
10.138.149.23,192.168.56.30:80,200
10.126.209.147,192.168.56.30:80,200
10.245.251.82,192.168.56.30:80,200
10.195.159.53,192.168.56.20:80,200
10.147.116.61,192.168.56.20:80,200
10.246.135.95,192.168.56.30:80,200
10.121.234.76,192.168.56.40:80,200
10.196.197.53,192.168.56.30:80,200
10.212.12.57,192.168.56.20:80,200
10.194.59.145,192.168.56.20:80,200
10.235.253.60,192.168.56.30:80,200
10.117.131.215,192.168.56.40:80,200
10.144.253.158,192.168.56.30:80,200
10.81.117.231,192.168.56.20:80,200
10.219.80.177,192.168.56.30:80,200
10.155.238.18,192.168.56.20:80,200
10.188.176.21,192.168.56.30:80,200
10.254.199.220,192.168.56.30:80,200
10.144.110.243,192.168.56.40:80,200
10.166.163.5,192.168.56.30:80,200
10.129.40.43,192.168.56.40:80,200
10.57.234.236,192.168.56.20:80,200
10.193.222.112,192.168.56.20:80,200
10.178.23.78,192.168.56.20:80,200
10.234.80.165,192.168.56.40:80,200
10.87.194.111,192.168.56.40:80,200
10.121.37.179,192.168.56.20:80,200
10.116.209.141,192.168.56.30:80,200
10.90.246.129,192.168.56.40:80,200
10.68.145.124,192.168.56.40:80,200
10.77.25.47,192.168.56.30:80,200
10.158.109.186,192.168.56.30:80,200
10.55.148.240,192.168.56.40:80,200
10.69.195.152,192.168.56.30:80,200
10.44.121.119,192.168.56.20:80,200
10.71.245.167,192.168.56.30:80,200
10.133.221.84,192.168.56.30:80,200
10.120.69.235,192.168.56.30:80,200
10.5.83.8,192.168.56.30:80,200
